Wavelength,Resp
200,0.076702
205,0.074913
210,0.073124
215,0.074359
220,0.075594
225,0.08144
230,0.087286
235,0.095133
240,0.10298
245,0.106615
250,0.11025
255,0.1127
260,0.11515
265,0.114235
270,0.11332
275,0.11639
280,0.11946
285,0.124015
290,0.12857
295,0.132695
300,0.13682
305,0.13763
310,0.13844
315,0.1362
320,0.13396
325,0.13316
330,0.13236
335,0.13143
340,0.1305
345,0.12965
350,0.1288
355,0.1258
360,0.1228
365,0.12291
370,0.12302
375,0.129645
380,0.13627
385,0.143105
390,0.14994
395,0.15629
400,0.16264
405,0.16803
410,0.17342
415,0.17923
420,0.18504
425,0.1906
430,0.19616
435,0.201665
440,0.20717
445,0.212975
450,0.21878
455,0.224295
460,0.22981
465,0.235775
470,0.24174
475,0.24753
480,0.25332
485,0.25913
490,0.26494
495,0.271065
500,0.27719
505,0.282915
510,0.28864
515,0.29471
520,0.30078
525,0.306535
530,0.31229
535,0.318525
540,0.32476
545,0.330355
550,0.33595
555,0.34157
560,0.34719
565,0.352915
570,0.35864
575,0.364255
580,0.36987
585,0.37534
590,0.38081
595,0.38625
600,0.39169
605,0.396645
610,0.4016
615,0.40694
620,0.41228
625,0.417385
630,0.42249
635,0.427475
640,0.43246
645,0.43698
650,0.4415
655,0.44629
660,0.45108
665,0.455655
670,0.46023
675,0.46462
680,0.46901
685,0.473155
690,0.4773
695,0.481635
700,0.48597
705,0.49
710,0.494
715,0.498
720,0.50183
725,0.50563
730,0.50943
735,0.512955
740,0.51648
745,0.520225
750,0.52397
755,0.52713
760,0.53029
765,0.53382
770,0.53735
775,0.540995
780,0.54464
785,0.54747
790,0.5503
795,0.553375
800,0.55645
805,0.55965
810,0.56285
815,0.565755
820,0.56866
825,0.57158
830,0.5745
835,0.577165
840,0.57983
845,0.582395
850,0.58496
855,0.58727
860,0.58958
865,0.592045
870,0.59451
875,0.59636
880,0.59821
885,0.60039
890,0.60257
895,0.60502
900,0.60747
905,0.609185
910,0.6109
915,0.612285
920,0.61367
925,0.615295
930,0.61692
935,0.61787
940,0.61882
945,0.61981
950,0.6208
955,0.62192
960,0.62304
965,0.62387
970,0.6247
975,0.62564
980,0.62658
985,0.62709
990,0.6276
995,0.62602
1000,0.62444
1005,0.621475
1010,0.61851
1015,0.61438
1020,0.61025
1025,0.599735
1030,0.58922
1035,0.570885
1040,0.55255
1045,0.526605
1050,0.50066
1055,0.4678
1060,0.43494
1065,0.40702
1070,0.3791
1075,0.3538
1080,0.3285
1085,0.305445
1090,0.28239
1095,0.26245
1100,0.24251
